hour,day_of_week,TransactionType
0,1_Monday,768
0,2_Tuesday,653
0,3_Wednesday,712
0,4_Thursday,731
0,5_Friday,705
0,6_Saturday,769
0,7_Sunday,862
1,1_Monday,817
1,2_Tuesday,802
1,3_Wednesday,759
1,4_Thursday,806
1,5_Friday,713
1,6_Saturday,939
1,7_Sunday,890
2,1_Monday,821
2,2_Tuesday,730
2,3_Wednesday,871
2,4_Thursday,845
2,5_Friday,896
2,6_Saturday,1070
2,7_Sunday,855
3,1_Monday,847
3,2_Tuesday,831
3,3_Wednesday,894
3,4_Thursday,896
3,5_Friday,869
3,6_Saturday,1274
3,7_Sunday,968
4,1_Monday,962
4,2_Tuesday,960
4,3_Wednesday,949
4,4_Thursday,928
4,5_Friday,969
4,6_Saturday,1236
4,7_Sunday,913
5,1_Monday,858
5,2_Tuesday,1001
5,3_Wednesday,1010
5,4_Thursday,1045
5,5_Friday,1052
5,6_Saturday,1338
5,7_Sunday,832
6,1_Monday,967
6,2_Tuesday,1105
6,3_Wednesday,1117
6,4_Thursday,1093
6,5_Friday,1246
6,6_Saturday,1288
6,7_Sunday,895
7,1_Monday,1025
7,2_Tuesday,1194
7,3_Wednesday,1163
7,4_Thursday,1198
7,5_Friday,1414
7,6_Saturday,1287
7,7_Sunday,930
8,1_Monday,988
8,2_Tuesday,1335
8,3_Wednesday,1285
8,4_Thursday,1285
8,5_Friday,1517
8,6_Saturday,1372
8,7_Sunday,1152
9,1_Monday,1133
9,2_Tuesday,1345
9,3_Wednesday,1224
9,4_Thursday,1310
9,5_Friday,1416
9,6_Saturday,1525
9,7_Sunday,1242
10,1_Monday,986
10,2_Tuesday,1146
10,3_Wednesday,1154
10,4_Thursday,1136
10,5_Friday,1204
10,6_Saturday,1333
10,7_Sunday,1251
11,1_Monday,744
11,2_Tuesday,951
11,3_Wednesday,966
11,4_Thursday,1029
11,5_Friday,1159
11,6_Saturday,1283
11,7_Sunday,974
12,1_Monday,615
12,2_Tuesday,718
12,3_Wednesday,751
12,4_Thursday,906
12,5_Friday,959
12,6_Saturday,995
12,7_Sunday,929
13,1_Monday,461
13,2_Tuesday,632
13,3_Wednesday,579
13,4_Thursday,659
13,5_Friday,827
13,6_Saturday,823
13,7_Sunday,662
14,1_Monday,371
14,2_Tuesday,545
14,3_Wednesday,458
14,4_Thursday,506
14,5_Friday,634
14,6_Saturday,699
14,7_Sunday,525
15,1_Monday,334
15,2_Tuesday,527
15,3_Wednesday,532
15,4_Thursday,516
15,5_Friday,632
15,6_Saturday,620
15,7_Sunday,379
16,1_Monday,269
16,2_Tuesday,452
16,3_Wednesday,418
16,4_Thursday,411
16,5_Friday,495
16,6_Saturday,515
16,7_Sunday,420
17,1_Monday,263
17,2_Tuesday,418
17,3_Wednesday,459
17,4_Thursday,493
17,5_Friday,611
17,6_Saturday,519
17,7_Sunday,362
18,1_Monday,300
18,2_Tuesday,563
18,3_Wednesday,490
18,4_Thursday,560
18,5_Friday,703
18,6_Saturday,584
18,7_Sunday,452
19,1_Monday,384
19,2_Tuesday,527
19,3_Wednesday,535
19,4_Thursday,566
19,5_Friday,667
19,6_Saturday,671
19,7_Sunday,518
20,1_Monday,433
20,2_Tuesday,601
20,3_Wednesday,519
20,4_Thursday,586
20,5_Friday,789
20,6_Saturday,815
20,7_Sunday,538
21,1_Monday,455
21,2_Tuesday,655
21,3_Wednesday,584
21,4_Thursday,725
21,5_Friday,819
21,6_Saturday,826
21,7_Sunday,677
22,1_Monday,542
22,2_Tuesday,726
22,3_Wednesday,753
22,4_Thursday,743
22,5_Friday,904
22,6_Saturday,864
22,7_Sunday,701
23,1_Monday,536
23,2_Tuesday,741
23,3_Wednesday,700
23,4_Thursday,751
23,5_Friday,827
23,6_Saturday,884
23,7_Sunday,731
